s0,s10,s90,s90d
51,40,99,75
54,69,249,248
50,34,41,64
56,68,249,248
105,150,73,248
58,41,249,248
61,41,249,248
74,55,53,162
145,142,249,248
55,34,158,142
74,46,41,111
109,252,249,248
52,77,249,180
81,132,249,248
76,52,59,166
111,216,18,218
46,45,5,0
97,52,23,2
72,64,249,248
251,194,249,248
84,169,249,248
39,40,5,0
30,30,3,2
100,79,64,6
106,97,126,17
74,48,51,128
128,210,249,248
95,82,99,26
98,76,70,17
66,47,7,6
27,32,4,2
14,4,39,6
47,43,16,9
98,82,83,10
69,45,18,1
105,85,101,12
73,46,42,127
252,252,249,248
186,251,249,248
69,52,16,0
94,51,17,9
58,60,6,5
103,94,124,10
106,50,34,8
134,112,117,17
97,81,119,15
83,99,148,81
39,28,4,0
129,71,24,0
106,78,77,16
100,63,108,12
65,49,10,1
82,81,80,39
54,37,10,1
78,37,42,4
46,38,7,0
36,42,9,2
57,45,5,0
30,26,4,3
99,80,71,10
93,76,66,6
110,89,127,26
42,35,7,0
74,45,37,121
97,72,77,6
90,87,56,38
117,133,179,38
41,27,10,0
49,36,13,3
63,22,15,0
51,48,10,0
85,88,62,33
43,40,9,4
93,64,45,11
105,83,114,13
66,74,249,248
45,42,6,0
64,96,84,25
102,88,85,12
34,32,11,0
29,41,6,0
32,22,14,2
97,85,77,11
74,47,41,145
249,252,249,248
127,251,249,248
45,45,5,0
96,64,88,20
52,46,9,0
51,48,6,2
32,39,4,2
104,55,12,4
35,30,13,0
49,40,8,0
106,92,151,18
107,80,119,20
97,93,121,24
74,48,46,139
248,252,249,248
250,251,249,248
90,78,83,53
95,72,108,52
78,53,39,171
105,252,249,248
34,38,3,0
99,85,66,7
102,75,88,9
41,45,3,4
39,36,9,1
101,84,117,16
54,34,11,0
88,90,94,20
56,94,132,75
73,48,49,133
249,252,249,248
182,251,249,248
43,41,9,0
30,20,8,0
107,88,137,15
69,30,6,1
40,34,2,0
102,79,69,13
24,26,4,0
101,89,130,23
93,116,130,66
69,41,18,7
41,37,5,0
48,44,8,2
109,89,114,24
54,41,7,0
90,86,84,13
105,93,92,12
49,44,7,1
91,86,89,8
36,35,4,0
96,74,72,9
46,36,11,4
96,72,71,9
95,87,87,13
79,42,8,2
100,94,101,15
52,43,8,4
114,84,86,9
43,41,5,0
111,71,98,23
110,47,22,3
39,38,6,0
97,71,97,11
104,70,90,9
102,76,84,10
19,28,11,1
29,28,4,0
29,29,5,3
79,55,57,5
75,51,55,136
252,252,249,248
251,251,249,248
97,84,82,17
100,61,31,1
33,28,2,2
51,39,11,0
94,77,115,19
101,70,94,27
85,79,72,8
78,82,69,42
11,13,3,3
106,87,98,14
29,29,5,1
94,85,108,17
57,44,3,0
101,81,76,6
53,35,12,2
37,30,7,0
33,26,0,3
35,28,10,3
46,37,6,5
46,37,8,1
33,24,7,2
97,69,68,4
42,37,8,4
86,66,71,54
112,74,76,6
101,97,102,8
49,36,14,2
97,57,14,0
93,57,16,0
93,70,86,15
67,41,13,5
43,37,3,0
74,95,103,55
87,72,89,12
50,51,5,3
88,75,63,6
14,21,9,10
76,52,145,58
88,92,161,22
85,81,79,11
73,46,51,126
252,251,249,248
134,251,249,248
98,72,91,13
95,94,91,11
43,36,3,4
85,84,81,61
98,78,78,16
97,79,81,14
105,84,89,19
98,59,65,16
109,47,29,3
50,42,12,0
89,50,13,3
41,34,12,1
105,77,79,13
51,40,5,3
39,36,7,0
102,73,106,16
100,82,112,16
93,66,70,9
28,36,8,0
115,81,89,6
96,103,74,4
44,35,5,1
31,26,5,3
99,85,98,12
104,85,77,10
38,31,13,0
88,73,64,9
75,51,49,158
250,252,249,248
54,251,249,248
124,251,249,248
100,70,74,7
104,71,95,3
34,27,12,1
57,38,10,0
112,84,110,22
55,38,11,2
75,90,104,74
68,83,95,71
44,33,7,0
46,56,10,0
123,100,139,15
76,85,47,31
97,96,83,13
110,80,93,14
90,75,63,11
70,70,15,5
38,34,8,1
42,40,7,0
106,82,112,16
97,72,39,0
110,86,94,16
99,71,64,6
107,65,75,8
109,57,16,0
98,83,89,22
97,59,43,1
48,35,8,2
115,82,134,16
98,88,93,6
105,76,80,9
52,40,11,0
46,36,12,1
80,80,51,44
105,74,83,13
131,65,94,17
49,42,8,0
102,57,23,1
90,83,70,12
56,39,7,3
47,33,6,0
38,38,9,4
95,78,74,7
97,84,73,11
26,23,12,0
39,30,10,0
109,85,86,17
34,34,3,0
92,82,61,12
38,30,9,0
92,84,83,15
34,19,16,0
115,70,130,23
56,41,7,0
39,32,4,0
40,30,14,0
57,66,102,17
32,28,9,2
74,52,55,163
118,250,249,248
94,150,64,3
105,67,83,8
104,77,104,29
47,36,15,0
112,89,69,14
45,37,7,0
105,84,99,13
105,68,97,21
79,84,78,32
93,54,24,1
31,28,6,2
34,38,1,7
54,36,10,0
46,39,10,0
85,103,122,82
108,69,71,11
41,32,6,0
30,36,4,3
103,33,27,0
31,46,32,11
105,84,136,21
86,71,55,8
56,36,13,6
95,72,78,13
53,31,14,1
49,38,4,0
32,36,2,0
75,47,8,0
59,119,123,68
32,27,5,3
78,60,102,50
36,30,8,0
115,92,144,33
36,28,7,0
38,35,11,1
105,87,111,6
109,83,82,7
64,48,5,0
67,35,9,1
101,74,89,12
48,40,10,0
91,78,71,14
48,40,8,3
106,81,135,19
20,24,12,3
38,34,4,0
33,28,3,1
51,36,11,4
104,80,96,24
47,27,8,0
81,77,53,7
34,44,7,4
43,59,0,0
133,68,117,25
85,77,76,3
87,44,22,4
43,40,11,0
97,75,87,14
108,86,113,31
32,31,4,0
99,74,105,10
77,94,121,107
103,75,82,18
107,84,96,14
39,37,4,1
31,32,6,0
35,36,9,3
94,70,106,15
87,64,49,10
100,56,27,1
93,71,72,2
61,33,10,6
103,50,24,0
74,89,80,66
111,63,30,6
52,34,12,0
43,42,7,0
98,71,106,11
43,37,3,6
80,84,76,12
98,81,65,10
38,30,5,0
37,37,1,0
116,85,122,10
100,87,115,15
101,71,85,12
111,85,160,15
111,85,123,24
132,62,149,20
36,38,8,0
43,41,6,2
85,82,104,54
101,74,87,22
41,35,7,0
93,50,37,0
113,75,105,23
91,80,92,16
28,26,10,6
96,68,85,10
40,37,6,0
109,98,106,14
93,44,30,3
104,55,36,0
52,36,7,1
78,83,58,29
108,97,120,16
108,80,100,8
94,94,75,13
35,35,3,0
95,79,139,26
45,34,5,2
101,55,23,5
99,78,67,10
109,90,107,18
105,83,112,12
28,16,10,4
45,31,12,1
20,18,2,2
85,67,72,10
103,73,85,10
34,27,9,0
36,28,4,1
33,26,9,0
31,25,6,0
105,67,95,13
52,42,9,3
118,79,116,11
89,65,49,20
104,76,68,7
47,20,8,0
73,76,100,43
37,32,9,0
104,75,90,9
87,66,48,10
65,95,128,69
111,80,74,11
98,68,72,14
103,82,89,11
38,35,11,0
109,80,90,7
76,81,82,61
41,32,8,2
110,80,138,15
96,64,62,8
116,79,118,13
95,72,66,10
58,47,15,4
112,81,104,21
101,75,96,17
36,19,109,11
46,33,8,4
83,104,107,56
99,82,80,21
94,76,77,9
103,84,103,14
90,51,26,4
112,76,106,20
101,75,134,26
32,25,14,0
29,29,4,1
86,47,22,1
93,85,96,17
97,68,218,88
49,37,8,0
47,37,9,0
38,38,10,1
88,74,71,15
41,33,9,4
96,72,73,9
35,34,4,0
49,38,11,2
29,24,2,0
27,26,13,0
101,83,104,18
30,36,7,0
110,84,131,21
38,36,2,0
104,53,29,4
103,82,105,19
43,42,6,0
34,27,5,1
45,44,6,0
90,64,67,5
30,22,7,5
22,18,11,1
25,23,4,0
38,34,7,2
44,35,8,5
47,37,10,0
49,40,4,3
100,87,125,35
36,34,9,4
38,17,11,0
108,81,120,19
48,33,5,3
101,80,123,21
39,36,39,1
113,81,120,20
117,59,101,11
84,73,91,36
110,76,88,11
105,71,82,18
40,30,10,0
100,77,108,19
106,73,85,8
36,32,5,2
42,27,63,5
94,75,113,26
51,37,10,0
72,92,97,49
42,32,9,0
104,64,87,11
55,40,7,0
86,72,56,7
100,91,114,14
85,73,110,82
34,25,5,0
103,75,79,13
34,29,6,1
77,85,108,57
91,47,20,0
105,100,126,15
96,60,133,17
93,47,21,7
35,33,10,0
42,34,7,0
75,99,98,70
103,73,100,14
118,75,113,17
69,95,86,62
94,80,137,9
107,47,21,5
30,33,2,0
48,30,13,0
106,78,94,14
46,31,11,0
31,27,6,3
16,9,124,69
50,38,11,0
108,87,124,14
63,39,8,0
100,76,95,22
77,74,76,51
74,60,84,3
101,80,64,5
47,42,6,1
75,45,43,118
249,252,249,248
132,251,249,248
100,72,135,21
42,27,10,0
30,30,4,0
104,69,98,11
112,70,113,18
101,50,28,2
110,74,84,9
102,77,105,19
97,68,64,4
105,82,97,15
113,72,166,18
92,45,26,0
37,32,3,4
80,86,93,39
28,27,5,2
96,37,19,4
92,58,20,2
92,86,104,20
99,82,99,23
97,85,86,12
15,17,10,0
99,72,60,10
70,88,80,44
36,37,8,1
39,35,9,0
46,32,11,4
38,29,13,4
85,59,89,12
98,71,81,16
53,48,9,3
106,78,154,18
34,35,3,2
45,32,15,3
102,69,87,4
37,32,5,3
111,76,87,12
36,27,18,2
96,78,63,11
109,89,108,14
43,30,13,4
25,25,8,0
41,33,14,2
95,60,19,2
61,36,13,0
106,85,117,17
38,28,6,2
103,79,88,9
68,74,54,50
44,32,14,2
35,32,5,0
46,33,12,0
96,72,98,12
116,84,133,10
48,33,8,1
90,94,81,44
112,97,117,9
50,30,5,3
27,27,11,0
35,39,3,0
99,79,118,29
99,82,133,31
17,14,7,1
38,28,13,0
90,49,16,0
