s0,s10,s90,s90d,red_flag
21,38,98,117,1
82,108,56,248,1
70,125,249,248,1
98,152,249,248,1
62,126,249,248,1
63,97,249,248,1
83,95,249,248,1
82,125,81,213,1
75,50,57,164,1
125,213,249,248,1
69,43,75,171,1
74,47,39,108,1
73,43,45,120,1
218,252,249,248,1
155,210,249,248,1
126,198,249,184,1
45,31,11,0,0
92,81,94,13,0
98,84,81,12,0
35,35,2,0,0
89,66,51,6,0
96,79,77,22,0
100,79,68,12,0
88,78,82,12,0
98,67,98,16,0
81,68,49,8,0
81,68,65,6,0
88,72,69,15,0
85,66,79,8,0
94,71,75,10,0
29,37,117,77,1
88,78,100,21,0
94,90,62,8,0
47,32,9,0,0
90,82,125,10,0
90,70,53,8,0
38,32,5,0,0
91,78,102,9,0
37,35,8,0,0
88,77,73,21,0
89,68,63,4,0
30,25,3,0,0
49,42,11,0,0
99,80,105,12,0
28,28,2,0,0
83,73,91,7,0
36,30,7,1,0
49,38,10,0,0
98,88,87,15,0
87,71,72,10,0
43,34,3,6,0
44,28,5,0,0
119,67,93,19,0
97,75,121,20,0
83,62,63,5,0
85,84,69,9,0
78,73,77,12,0
42,37,6,2,0
78,70,37,10,0
108,101,100,23,0
45,27,7,5,0
96,72,87,13,0
96,71,76,10,0
33,23,4,0,0
103,85,69,2,0
118,103,85,7,0
38,34,3,1,0
44,37,8,3,0
11,8,0,1,0
44,33,11,3,0
89,70,78,12,0
122,107,89,13,0
97,88,87,7,0
93,83,91,15,0
93,73,58,9,0
56,58,4,0,0
114,89,89,13,0
90,72,89,15,0
15,15,9,0,0
134,112,125,29,0
47,35,7,1,0
94,77,66,18,0
109,80,84,6,0
106,84,134,10,0
16,15,1,6,0
92,80,93,19,0
86,67,68,14,0
73,75,49,4,0
50,36,9,0,0
127,117,141,19,0
13,12,1,0,0
141,106,143,16,0
101,92,73,13,0
105,70,75,11,0
104,66,77,22,0
12,12,0,0,0
102,50,86,8,0
93,74,95,8,0
53,34,10,1,0
110,77,94,25,0
104,85,77,9,0
106,79,72,12,0
80,38,12,2,0
128,113,96,12,0
113,80,123,21,0
102,68,89,10,0
103,68,76,8,0
164,72,69,5,0
68,56,86,8,0
40,31,5,1,0
90,69,68,4,0
99,70,114,12,0
108,91,103,7,0
98,76,89,10,0
102,86,99,13,0
92,70,66,11,0
46,31,11,2,0
99,78,76,11,0
105,84,103,11,0
32,21,7,1,0
50,45,6,4,0
83,76,77,8,0
107,76,83,16,0
103,78,120,14,0
104,79,89,17,0
105,72,104,22,0
63,40,13,4,0
115,73,110,15,0
32,44,15,55,1
114,92,145,25,0
97,76,75,23,0
93,73,87,22,0
70,63,12,3,0
130,118,105,8,0
53,40,8,0,0
86,79,90,6,0
97,87,83,8,0
89,70,41,11,0
136,122,143,15,0
101,83,104,10,0
107,97,98,20,0
122,117,74,7,0
46,29,5,3,0
97,85,106,19,0
100,73,88,13,0
97,85,80,13,0
60,60,11,3,0
102,74,90,5,0
98,69,102,13,0
100,85,111,18,0
98,73,83,13,0
14,15,1,1,0
43,27,8,2,0
96,82,113,11,0
51,39,9,1,0
40,41,6,4,0
129,123,144,15,0
103,77,82,19,0
115,88,131,23,0
47,35,9,0,0
95,68,50,5,0
124,87,123,20,0
78,36,11,0,0
89,56,62,7,0
105,86,121,14,0
105,68,81,14,0
92,74,72,8,0
11,10,0,0,0
97,86,89,15,0
105,76,93,12,0
99,71,92,7,0
40,33,5,0,0
53,32,6,0,0
110,81,100,11,0
35,26,5,2,0
34,37,3,3,0
79,55,13,4,0
39,30,9,0,0
99,95,122,19,0
36,27,6,0,0
121,74,75,9,0
106,92,128,15,0
115,77,104,15,0
114,86,201,18,1
97,73,74,3,0
105,78,104,6,0
37,39,10,4,0
84,79,65,8,0
103,68,109,9,0
129,104,124,18,0
15,22,5,0,0
115,83,105,24,0
119,74,105,17,0
97,70,52,9,0
16,27,7,0,0
78,70,66,6,0
133,73,40,3,0
46,35,2,3,0
97,59,69,8,0
116,102,66,9,0
51,45,4,2,0
116,76,134,22,0
115,80,102,21,0
120,76,138,26,0
38,30,8,2,0
112,74,94,18,0
10,12,0,0,0
112,88,108,7,0
74,74,49,11,0
96,80,89,11,0
103,82,102,10,0
108,85,86,15,0
13,16,0,0,0
91,71,60,12,0
74,63,48,4,0
33,33,5,1,0
106,81,107,12,0
87,83,110,15,0
51,33,69,14,0
76,38,9,0,0
103,84,72,5,0
103,80,83,11,0
46,38,8,1,0
132,90,124,13,0
52,44,3,0,0
49,37,10,0,0
15,16,0,0,0
59,49,12,0,0
119,82,107,16,0
95,72,73,16,0
81,68,72,8,0
103,83,85,11,0
100,72,88,22,0
105,85,93,3,0
94,76,82,20,0
95,78,81,13,0
121,51,130,22,0
114,78,158,21,0
49,30,6,3,0
94,78,62,4,0
105,70,93,10,0
100,73,85,6,0
96,73,107,7,0
107,78,99,12,0
105,75,153,29,0
115,98,127,15,0
111,96,189,24,0
99,59,18,1,0
131,113,176,15,0
105,86,108,16,0
99,78,97,15,0
42,34,12,1,0
46,41,8,0,0
103,79,105,26,0
117,99,98,21,0
39,29,6,0,0
86,76,41,5,0
88,69,78,20,0
37,13,11,1,0
99,88,78,8,0
98,78,62,11,0
97,71,83,5,0
110,98,97,22,0
91,83,109,7,0
70,46,24,98,1
124,252,249,248,1
92,83,85,13,0
38,27,6,0,0
102,63,73,7,0
17,16,2,0,0
98,60,53,8,0
96,72,96,11,0
100,80,113,10,0
103,83,83,14,0
96,75,64,7,0
102,91,118,29,0
108,83,140,23,0
12,11,1,0,0
103,54,32,3,0
47,45,6,0,0
57,43,15,0,0
109,71,76,15,0
104,86,97,11,0
116,84,128,22,0
103,88,95,13,0
88,70,80,11,0
90,73,80,7,0
87,67,73,13,0
91,70,83,7,0
86,77,90,16,0
112,83,94,3,0
33,28,5,0,0
94,73,57,13,0
117,88,111,17,0
85,70,62,8,0
111,72,141,11,0
100,81,121,16,0
98,76,96,6,0
107,88,104,11,0
39,38,5,2,0
97,70,81,7,0
39,28,8,0,0
120,77,119,13,0
109,78,82,7,0
101,88,123,16,0
103,77,79,15,0
104,48,19,1,0
85,78,100,10,0
105,78,89,7,0
118,96,137,21,0
73,49,47,156,1
235,252,249,248,1
182,251,249,248,1
106,68,89,8,0
112,74,121,17,0
94,90,116,16,0
105,67,85,15,0
95,77,64,3,0
88,71,85,6,0
114,69,79,21,0
103,97,129,18,0
57,32,12,5,0
98,88,123,13,0
100,83,97,7,0
97,88,84,2,0
40,30,8,0,0
93,77,99,13,0
110,75,92,8,0
122,75,129,26,0
92,71,73,7,0
94,71,68,12,0
94,71,66,10,0
71,62,19,7,0
98,78,83,10,0
84,68,46,6,0
123,117,142,21,0
95,63,85,4,0
103,80,98,15,0
43,24,4,2,0
96,74,68,4,0
101,72,87,21,0
106,77,128,11,0
102,77,97,11,0
97,81,129,8,0
101,77,81,12,0
42,35,9,0,0
96,73,91,12,0
110,83,114,14,0
97,95,116,20,0
35,27,7,2,0
82,64,62,7,0
42,27,14,1,0
117,53,33,6,0
96,76,72,10,0
95,68,91,19,0
100,70,87,14,0
96,92,76,3,0
89,64,48,2,0
41,36,7,3,0
104,73,91,11,0
88,63,78,6,0
92,75,88,10,0
100,74,79,12,0
92,63,67,7,0
100,76,82,9,0
89,68,71,13,0
99,79,86,12,0
95,88,135,4,0
88,63,93,11,0
93,74,77,9,0
49,35,14,0,0
36,22,8,0,0
105,81,111,6,0
99,74,67,8,0
94,68,100,14,0
12,13,1,0,0
105,79,98,15,0
78,71,60,2,0
11,14,6,0,0
76,68,40,8,0
109,77,113,14,0
36,34,4,1,0
89,64,64,4,0
44,29,2,0,0
116,84,131,11,0
84,64,69,9,0
103,73,88,15,0
94,67,73,10,0
90,75,67,9,0
40,28,3,0,0
38,35,9,3,0
37,25,8,0,0
44,39,12,0,0
93,71,98,22,0
